企业名称,企业logo,从事行业,企业规模,详细地址,公司介绍,经纬度
湖北佳粮机械,"https://img.bosszhipin.com/beijin/upload/com/logo/20250311/7b5b554d84f9729c583a638d490f25a293a3235c1ab7ee7e9c959ee88fdf7227ff36a74c24d0034c.png.webp?x-oss-process=image/resize,w_120,limit_0",通用设备,20-99人,仙桃湖北佳粮机械股份有限公司干河北路19号,公司主要生产、销售碾米机、榨油机,"113.426557,30.382138"
海吟新环境,https://static.zhipin.com/zhipin-geek-seo/v5260/web/geek/images/defaultlogov2.jpg,机械设备/机电/重工,20-99人,德州德城区山东川欧机械设备有限公司前小屯村85号院内,无,"116.340957,37.51471"
易动智能,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20230408/7bf6f160950405e9824728895e8c711d5e41daed6eeab091705b6800d512872382ded62ee9943f00.jpg?x-oss-process=image/resize,w_120,limit_0",机械设备/机电/重工,20-99人,无锡江阴市江阴物华塑料制品有限公司1023号,无锡市易动智能装备有限公司位于无锡市惠山区堰裕路8号，是一家专业从事高端智能装备、自动化生产线、非标定制等智能装备的研发、制造、销售、服务为一体的高新技术型企业。 ,"120.25009,31.814703"
君翊机械,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_120,limit_0",机械设备/机电/重工,0-20人,岳阳岳阳县君翊机械加工三一一,无,"113.134461,29.127755"
尚科氟塑,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20201207/fd51136c32c08cec545329f41da5d751a64aed8855a19dc82294de80095e32ed_s.jpg?x-oss-process=image/resize,w_120,limit_0",专用设备,20-99人,常州武进区坤鼎常州西太湖创新产业园31-1号楼2楼,江苏尚科氟塑机械科技有限公司是中国领先的专业聚四氟乙烯（PTFE）及超高分子UPMWPE挤塑机生产设备制造商。（品质塑料与设备制造商）,"119.817128,31.729763"
济南市水处理设备厂,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_120,limit_0",专用设备,100-499人,济南天桥区济南新材料产业园区华盛路1919号,无,"116.894768,36.793443"
瑞风科技,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_120,limit_0",通用设备,0-20人,青岛城阳区联东U谷10号楼402,无,"120.438148,36.288285"
辽宁沃斯维克科技公司,"https://img.bosszhipin.com/beijin/icon/894ce6fa7e58d64d57e7f22d2f3a9d18afa7fcceaa24b8ea28f56f1bb14732c0.png?x-oss-process=image/resize,w_120,limit_0",机械设备/机电/重工,20-99人,鞍山铁西区辽宁沃斯维克科技有限公司,无,"122.891325,41.165997"
万鑫精工,"https://img.bosszhipin.com/beijin/upload/com/logo/20210205/9b6140afcc3041c20b34c85da6009fff17e0848dff78724ee3f2aec78e373a0d.png?x-oss-process=image/resize,w_120,limit_0",通用设备,500-999人,长沙宁乡市万鑫精工(湖南)有限公司南门,万鑫精工（湖南）股份有限公司（简称万鑫精工）源于“世界工厂”广东省东莞市，兴于“中部热土”装备制造产业集群地湖南省长沙市，拥有湖南和东莞两处生产基地，并成立了日本、深圳、湖南总部三大研发中心以及印度分公司。,"112.674999,28.266896"
华升富士达,"https://img.bosszhipin.com/beijin/upload/com/logo/20210210/83d5776a3b0de282abe719953df3ee53e47b967c1e19bf3460a1c9dddfb3adca.jpg?x-oss-process=image/resize,w_120,limit_0",机械设备/机电/重工,1000-9999人,大连中山区大连时代广场A座4203,华升富士达电梯有限公司是世界知名电梯专业厂商日本富士达株式会社与中国最大的综合商社之一的中国中纺集团公司注资7亿人民币组建的合资企业。公司成立于1995 年12 月，位于廊坊市经济技术开发区，占地面积近10万平米，工厂用地约5万平方米，目前已在全国范围内设立25个分公司，员工规模3000人，电梯年产量达20000 台以上。,"121.650571,38.924579"
新位激光,https://static.zhipin.com/zhipin-geek-seo/v5260/web/geek/images/defaultlogov2.jpg,电气机械/器材,20-99人,福州马尾区梅生医疗5号楼,无,"119.426359,26.010228"
大稳节能,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20220808/7bf6f160950405e981b9e20ac19bef3a38b2a5d36756a1176d48cc1424b4deebf3b749aa6ffae5c4.jpg?x-oss-process=image/resize,w_120,limit_0",通用设备,100-499人,惠州惠城区碧桂园潼湖科技小镇28#15楼整层,环境试验设备、测试设备的技术开发、生产、加工、销售、租赁及维修保养服务，控制与自动化软件开发、销售及维护服务，自有物业租赁，技术服务、技术咨询，企业管理，企业咨询服务，国内贸易。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,"114.181347,22.995298"
龙工机械,"https://img.bosszhipin.com/beijin/mcs/chatphoto/20200429/62025f1d8de0889d87be14192859966ed94dd670a8d5c400bbb337a4343d9653_s.jpg?x-oss-process=image/resize,w_120,limit_0",专用设备,10000人以上,龙岩新罗区龙工经济开发区龙工路1号,中国龙工控股有限公司，系由第十一届、十二届全国人大代表、全国劳动模范、优秀中国特色社会主义事业建设者李新炎先生于1993年在福建龙岩创立的一家大型工程机械制造企业；2005年率中国工程机械行业之先在香港联交所主板上市（股票代码：HK03339）；位列全球工程机械50强。,"117.006465,25.048315"
镭速激光,"https://img.bosszhipin.com/beijin/upload/com/logo/20190529/7c85a071d8b8eca74b425564fd6e926cd46360bbe601db3788e2942b02059ba0.jpg?x-oss-process=image/resize,w_120,limit_0",机械设备/机电/重工,20-99人,宁波鄞州区浙东精密铸造宁波市鄞州区云龙镇王夹岙村315037号,一、公司简介,"121.596566,29.758775"
星宏机电,"https://img.bosszhipin.com/beijin/upload/com/workfeel/20220324/7bf6f160950405e9e74cb35a8c085ca32aa143000106ce728463c870867646d09617ef9f31c64a31.jpg?x-oss-process=image/resize,w_120,limit_0",通用设备,100-499人,深圳坪山区星宏机电有限公司坪山区龙田社区吓陂路9号B栋,深圳市星宏机电有限公司成立于2007年，位于广东省深圳市坪山区，是一家具有多年精密机械切削加工五金类产品的企业，是自动化机械设备、AI机器、医疗设备、汽车特殊设备等大型设备制造商的优秀协力厂商。,"114.353101,22.75978"
南杨机械,"https://c-res.zhipin.com/jrs/7_e215a1010763afb78e43b3ff5edf706c.jpg?x-oss-process=image/resize,w_120,limit_0",通用设备,20-99人,苏州常熟市常熟市尚湖镇常兴村常鑫路3号,公司成立于1985年，员工70人左右,"120.65745,31.60755"
天发食品机械,"https://img.bosszhipin.com/beijin/upload/com/logo/20231129/7b5b554d84f9729cffb820ec7dc2b71efb10326aa604b147241faa66b884287a058fdd560023477e.png.webp?x-oss-process=image/resize,w_120,limit_0",机械设备/机电/重工,100-499人,泉州惠安县泉州市天发食品机械有限公司367,福建省泉州市天发食品机械有限公司成立于2010年，位于历史名城著名侨乡泉州市，总占地面积15000平方米，固定资产7000万元，拥有员工120人，其中高级技术研发人员20人，中高级职称人员30人，年生产能力2500台/套，是一家集设计、研发、生产、销售为一体的高新技术企业。    ,"118.791432,24.904047"
